friend,count
1133667447343669248,1
1263005895149137921,1
1005891537098694656,1
1149586403832950784,1
315706302,1
373157754,3
459193274,1
2204476747,1
2732591676,2
760015049817747457,1
197987603,1
1407123218,1
213610675,2
581751253,1
712302433930756096,1
2427658183,1
712857593530683392,1
744938756453601280,1
1254642948735733760,1
1265155918355980288,1
1260303158921879554,1
1182145489216524288,1
1261593117536382976,1
1250729175662489600,1
1260555982670671875,2
923962638303772672,1
171920024,1
1087615675701579776,1
1039923292931588096,1
179404636,1
1150448856259268608,1
895331860674424834,1
1851380126,1
1244784022938628097,1
1258987953185009665,1
1149159932777730048,1
1214996065637806086,1
1253667469010632704,1
3091188893,1
1258956255223336961,1
1192542912200028160,1
1248413540131786752,1
4713477328,1
1254449232758689794,1
400053687,1
2097571,3
886555405979185154,1
1152591869685227522,1
128990079,1
2942700916,1
959049164758962176,1
2574403529,1
1255864160681725955,1
926570171585777664,1
1187752453242003456,1
897481059364941826,1
1204814521631739905,1
922326925019713536,1
296927323,1
1230256008812875776,1
1207992219635990528,1
2895400283,2
1190694050506190851,1
1885753117,1
1099971805811560448,1
761299153318191104,1
1183088525027135489,1
1187742221342253072,1
1241619420893663232,1
1249270402653671432,1
760434178580176896,1
990669269674463237,1
238089516,1
1200494331917979649,1
1251631931831259142,1
733717355977711616,1
841966671254425601,1
1096117641243176960,1
1005732492,1
1047487876081049600,1
47363382,1
268256183,1
1361304228,1
119348899,1
304914437,1
1086544339076030464,1
1127899286166024192,1
544192950,1
2797994297,1
1228982782405246976,1
612119721,1
2232648760,1
863412220151160832,1
838060715416014849,1
1142056671382056961,1
1249513338951725056,1
1124079975924150272,1
2563021365,1
949177121817145344,1
708800335427584001,1
1017562561712140288,1
1199204938066345989,1
1124404226719928320,1
832315643957501954,1
1019676804758548480,1
3418477361,1
1010515042490634240,1
1240923093213892610,1
968367509417144320,1
740907810897170432,1
1218226297085841409,1
406378497,1
217034698,1
747182042,1
232321384,1
986257044213850112,1
1185243540168888322,1
987709218613530624,1
2750407433,1
1372027572,1
1128736966642741248,1
289857107,1
862188990245593089,1
993154631432835073,1
578865108,1
224519271,1
1067047666239094784,1
1213529406,1
3133549953,1
945077692281565185,1
1186784259249528833,1
838796120448978945,1
448215303,1
4173624675,1
126955629,2
1241749898761883649,1
16273831,3
1081657736687947778,1
982313396203917312,1
939087392971083776,1
1132995598481874944,1
886336053564497920,1
2654808962,1
714875302208479233,1
1176493001989853185,1
164326486,1
552496374,1
356826684,1
2200948624,1
64643056,3
2446106193,1
855722129601552384,1
1335389383,1
842722014699950080,1
476620200,1
718463044142161921,1
1022537916936015872,1
31340033,1
1138452366691381249,1
1163950062852018176,1
257958883,1
2330468067,1
984556232211156993,1
171075576,1
446435568,1
1039187508142239745,1
1229243858266935296,1
992965134573342720,1
791651472463265792,1
88212111,1
993804801300365313,1
901018188128899073,1
370140896,1
1101029657581891585,1
1216375079925374976,1
96599511,1
775963126776799232,1
458290581,1
814500617259511808,1
1200455023886340096,1
135958982,1
726838174169849856,1
522074070,1
1170038107061805056,1
3382583739,1
293416440,1
879343317493960712,1
1078782519724646401,1
574709417,1
72248745,1
88034321,1
942836634265014273,1
241876167,1
1007191013742579712,1
26249480,1
842824643329318914,1
929696321979731968,1
932602913670778881,1
50269344,1
1206372717827629059,1
293147940,1
1228175031357693952,1
1397342167,1
1040164243335786496,1
2252109359,1
1149984630440910851,1
185967965,1
1207992076253696001,1
986949136082710528,1
1012080152,1
1085867794305040384,1
1730947362,1
1157033919017115649,1
815594447975157760,1
497714647,1
1224605686774059008,1
570233997,1
