friend,count
287784307,1
725239523588870144,1
3402432425,1
2395010346,1
407936258,1
1239175341916160001,1
1141384726785212417,1
16253942,1
460116210,2
57004673,1
1194954417264644096,1
90117783,1
176730887,1
1107930831211900928,1
1184919470600523782,1
50940456,1
134757149,1
1099909565280407552,1
1165266163611447296,2
1663172653,2
1061597230489133056,1
1171334091637235714,1
217044901,1
1155121889209212928,1
91333167,1
1145734481615212544,1
2965817333,1
2728275669,1
309121889,1
994283416567726082,1
1125136532640272385,1
266663758,1
2595233096,1
1122560150181752832,1
1036623396086407170,1
14667102,1
1342860090,1
46932553,1
17663776,2
315470985,1
1093477205659795457,1
3377137234,1
2758126553,1
15764644,4
1445650784,1
91305020,1
112772301,1
833605237504110592,1
1054473840213012485,1
18208354,7
47620601,1
95092020,2
617358007,1
106109075,1
131420585,1
16360269,1
950762296481144833,1
1604444052,4
1626294277,8
451630538,1
1005180185363271680,1
541179850,1
2420229140,1
860688715298914308,1
15343804,1
514505608,1
3425881216,2
2413182715,1
15826264,1
14830338,1
8277692,1
14146934,1
18121200,1
924641692346671106,1
17995040,2
842569036286181376,1
1598322511,1
906583658,2
352518189,1
2660242191,1
4018982319,1
1634208277,1
87229781,1
2740108585,1
381289719,1
54086260,1
34743251,11
316089203,1
959105459922919427,1
375742729,1
933320496371916800,1
909459285637259267,1
929238499131355136,1
850713475,1
183213553,1
820190174,1
500157774,1
3243904833,1
922386837821378560,1
17790274,2
2480393521,1
218560775,1
894069691542589442,1
2223002666,1
2315206706,1
75868199,1
887259665641418752,1
30687319,1
47287505,1
854604942501457920,1
53710621,1
186013679,1
705733397956661248,1
47175090,1
413781160,1
425196276,1
21100803,1
742279098555322368,1
1954919840,1
715584275123449857,1
107788493,1
275014008,1
85594520,1
497096242,1
14411014,1
457392423,1
6233632,1
829401742588727300,1
2277452592,1
2316235322,1
18992010,1
2385273733,1
3069800313,1
75541496,1
805376170921435136,1
43664667,1
2587953189,1
434933596,1
793928211470123012,1
18963809,1
243326561,1
2281874954,1
489873030,1
181850130,2
3427598753,1
482207171,1
710754916,1
2964341669,1
3125154047,2
1571270053,3
28584640,1
3001879551,1
29422232,1
145379878,1
97029848,1
1617562890,1
30699754,1
766693709220024320,1
323265196,1
1731276048,1
25073877,13
3971917094,1
2269701,1
394813088,1
3368353559,1
249088758,1
309133059,1
990009265,1
736153523642085376,1
2309476242,1
4629370161,1
605721647,1
1688585364,1
157981564,2
715037411970060288,1
321939221,1
281130002,1
600029236,1
221530046,1
1954728589,1
43673275,1
2977900810,1
25098482,2
1339835893,14
106291885,1
941576894,1
4777305755,1
2244340904,4
2629314718,1
131022610,1
3024635843,1
4747973338,2
395989599,1
454694693,1
16009072,1
58569513,3
2809906864,1
444097675,1
880426861,1
1013117058,1
74480484,1
1376760751,1
132601097,1
415766202,1
2887837801,1
20280065,2
4219616181,1
399342321,1
829315062,1
43407217,1
1008489960,1
3250669210,1
3979215519,1
373224349,1
3919711647,1
1548677144,1
422895799,1
630381394,1
3468305715,1
330358039,1
110227979,1
1292292907,1
307796412,1
858372368,1
14750983,1
279642533,1
19403504,1
2834186253,1
20925136,1
353773606,1
19811190,1
77528520,1
245293387,1
94817422,1
22694387,1
33481748,1
14157134,2
3014670221,1
161762873,1
15450996,1
2886059092,1
2821230267,1
14028472,1
20271943,1
254222101,1
2583656215,1
104298598,1
2292454922,1
78554420,1
1344664285,1
102375372,1
398953409,1
334602996,1
124690469,2
2984765827,1
2918066861,1
94415153,1
320284585,1
2226482060,1
1041765918,1
43907059,1
390727544,1
469711669,1
198312276,1
50292446,1
1035138680,1
320256434,1
140797786,1
13348572,1
77966398,1
2803587655,2
19232649,1
319874855,1
52028757,1
972587516,1
7197752,1
404106673,1
248290584,1
25256196,1
331469132,1
2617208731,1
220766418,1
2803444640,1
420321354,1
169426475,1
407594189,1
379672433,1
388916537,1
395535003,1
404704518,1
411727093,1
472166543,1
514541450,1
587377745,1
630189693,1
1712471419,1
1734517825,1
2442771630,1
2507317993,1
2580728250,1
2587107721,1
2591651378,1
2598319388,1
2599439731,1
2684918197,1
2613514844,1
54220150,1
144446989,1
6208362,1
825707342,1
308395915,1
88991210,1
2598631657,1
2580875953,1
2578930334,1
16101926,1
1313854628,1
2359926157,1
382614045,1
441577164,1
390880881,1
1875496267,1
43716999,1
727749306,1
1106993622,1
870261876,1
48339953,1
1665258217,1
37977333,1
184150874,1
47363359,1
191899035,1
51158189,1
392620070,1
1288103845,1
2427002215,1
856010760,1
224770312,1
2394341473,1
376655032,1
1944250952,1
1457574492,1
1189041602,1
185354151,1
15559155,1
13784592,2
222752862,1
380854055,1
70920738,1
1478375257,1
323102879,1
17251259,1
882590676,1
1288498904,1
1551471600,1
57517786,1
261006257,1
373559461,1
1714996783,1
402992916,1
394862784,1
2200778361,1
392885140,1
5520332,2
401666409,1
19141719,1
742507777,1
14963025,1
1641233714,1
397348833,1
453811414,1
93156238,1
54841286,1
543204674,1
329210305,1
1582853809,2
1152279248,2
322806670,1
99532067,1
1851878388,1
15995876,1
942471859,1
1123871084,1
1288285364,1
1241386903,1
1397321070,1
834399206,1
163520497,1
81066974,1
716050602,1
1211093377,1
467383816,1
1158399776,1
66726409,1
124586020,1
1160976422,1
94238225,1
1076477642,1
1221704636,1
184797241,1
853071648,1
66726005,1
958323858,1
1306943268,1
587808201,1
58765733,1
614289077,1
1310210479,1
119324264,1
376964383,1
831615445,1
61268567,1
634463033,1
502051951,1
921333266,1
44196397,21
881786335,1
1462504177,1
94043212,1
421271217,1
439154084,1
24733067,1
296167340,1
495247762,1
85686272,1
103312387,1
914509010,1
981039625,1
